TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
George Mason,A10,33,20,100.7,100,0.5201,51.9,47.9,20.2,16.9,27.9,24.8,37.1,33,51.5,49.4,35,30.1,66.3,-6,N/A,N/A
Lipscomb,ASun,30,20,103.5,103.8,0.4936,53.7,50.2,17.3,15.6,25,24.6,23.6,23.3,53.5,49.4,36,34.3,69.2,-7.4,N/A,N/A
San Francisco,WCC,33,20,109.2,102.2,0.6824,53.6,49.9,19.6,17.6,28.5,26.5,32.2,38.1,52.6,49.4,36.4,33.8,68.6,-3.7,N/A,N/A
Wisconsin,B10,35,20,106.5,94,0.8075,48.3,50.2,13.4,18.3,22.6,24.9,25,27.5,46.3,51.8,34.2,31.6,63.3,-0.5,N/A,N/A
Oklahoma St.,B12,36,20,106.3,92.1,0.838,48.8,45.6,20.6,18.9,32.6,28.2,32.5,30.4,50.3,44.6,31,31.6,67.4,0.1,N/A,N/A
Belmont,MVC,31,21,110.2,106.4,0.5993,55.3,51.1,16.8,17.7,25.4,30,24.3,29.3,53.2,49.8,38.9,35.6,68.3,-5.1,N/A,N/A
Samford,SC,28,21,107.7,105.6,0.556,53.6,51.9,17.9,19.8,28.2,27,41,37.6,52.6,49,36.5,37,67.9,-6.1,N/A,N/A
Saint Louis,A10,32,21,110.8,103.3,0.6929,52.1,48.3,17.3,15.3,29.7,26.5,29.1,32.7,51.8,46.6,35.2,34,69.1,-3.3,N/A,N/A
Towson,CAA,33,21,107.7,103.8,0.6039,51.1,48.6,18.4,17.7,35.7,26.7,29.8,29.5,49,47.7,36.7,33.2,64.6,-6,N/A,N/A
San Jose St.,MWC,34,21,108.4,101.6,0.6772,50.2,48.4,18.7,13.2,34.7,24.6,27.2,28.6,50.8,46.5,32.8,34.5,62.5,-2.1,N/A,N/A
Cleveland St.,Horz,33,21,104,104.2,0.4943,49.4,48.4,17.2,20.4,34.9,35.5,29.7,30.3,50.7,49,30.6,31.6,65.5,-8.3,N/A,N/A
Oregon,P12,36,21,113,97.1,0.8511,51.1,47.1,18.3,16.4,32.5,26.4,32,23.9,53.1,45.1,32,33.7,66.4,-0.3,N/A,N/A
Radford,BSth,34,21,103.6,103.8,0.4937,51.3,52.2,18.3,20.2,30.9,27.9,27.4,32.3,50.3,52.9,35.6,34,64.5,-8.5,N/A,N/A
Yale,Ivy,28,21,107.7,97.8,0.7534,52.8,47,16.5,18.4,28,23.2,30.6,33.9,52.4,45.7,35.8,32.6,66,-2,N/A,N/A
Akron,MAC,31,22,108.6,103,0.6479,51.9,49.7,16.6,17.8,29.8,26.5,33.7,28,51.5,48.1,35,35,65.2,-4.9,N/A,N/A
James Madison,SB,30,22,105.4,100,0.6455,51.5,49.4,18.6,21.4,31.3,27.6,38.9,31.8,51.4,50.7,34.5,31.5,70.4,-4.7,N/A,N/A
Hawaii,BW,32,22,100.5,98.1,0.5705,48.6,44.5,18.6,16.4,29.6,26.5,33.6,27.2,48.2,44.5,32.8,29.5,64.5,-5.7,N/A,N/A
Norfolk St.,MEAC,29,22,104.9,109,0.3921,52.2,50.2,19.8,19,33.4,30.6,39.5,36.3,53.8,48.3,32.7,34.9,65.2,-6,N/A,N/A
Northwestern St.,Slnd,32,22,104,108.7,0.3748,51.3,51,17.3,21,33.3,33.6,27.2,38.7,49.8,51.8,35.8,32.9,66.4,-5.9,N/A,N/A
New Mexico,MWC,33,22,114.4,102.4,0.7813,52.6,50.5,15.6,17.5,27.9,27.3,39.1,28.5,52.4,50.8,35.6,33.4,71.6,-1,N/A,N/A
Dayton,A10,34,22,109.8,97.9,0.7882,53,45,18.8,16.1,30.7,27,35.5,23.9,54.3,45.7,33.8,29.3,62.4,-4.3,N/A,N/A
UC Riverside,BW,33,22,105.9,105.1,0.5219,50.5,51.3,18,17.2,31.8,22.9,26.2,38,48.8,51.5,35.6,34,66.8,-4.7,N/A,N/A
Morehead St.,OVC,30,22,100.4,103.3,0.4206,49,49.8,18.3,15.4,26.6,24.7,34.7,27.5,47,50.7,34.8,31.9,63.5,-6.7,N/A,N/A
Milwaukee,Horz,31,22,101.3,107,0.3471,51.4,48.2,21.3,17.6,32.5,32.8,31.9,29.3,51.5,49,34.2,31.4,71.9,-6.3,N/A,N/A
Charlotte,CUSA,36,22,108,101.5,0.6703,55.1,50.2,17,17.8,22.3,24.4,24.9,24,54,49.7,37.7,33.9,60.3,-6.5,N/A,N/A
Vanderbilt,SEC,37,22,114,102.5,0.7728,49.6,48.6,16,15.3,30.8,31.9,31.6,31.2,49,49.8,33.6,31,66.4,-0.3,N/A,N/A
Santa Clara,WCC,32,23,109.7,99.5,0.7533,52.4,50.8,17.4,16.7,30.2,24.4,30.6,25.4,50.2,48.7,37.5,36,69.8,0.1,N/A,N/A
Southern Illinois,MVC,32,23,99.8,98.2,0.5459,51.7,47.6,19.3,19.6,22.8,27.3,30.6,29.8,54.6,46.7,32.2,33,63.7,-3.5,N/A,N/A
Clemson,ACC,34,23,110.9,97.7,0.8096,54.1,47.3,16.1,16.4,23.4,24.3,30.5,30.7,53.7,45.6,36.4,33.2,68,-0.3,N/A,N/A
Eastern Washington,BSky,33,23,109.9,106.4,0.5913,56.2,50.2,19.9,16.2,28,25.8,31.5,29.4,58.4,50.2,35.5,33.4,68.5,-4.2,N/A,N/A
UC Irvine,BW,33,23,105.9,99.1,0.6841,51.5,45.8,17.5,17.5,27.4,27,29.3,36.9,49.4,44.2,37.2,32.5,69.4,-4.5,N/A,N/A
Cincinnati,Amer,35,23,111.9,97.5,0.8295,51.3,47.7,15.2,16.9,30.8,27.4,25.7,29.1,50.6,48.1,34.9,31.2,68.5,-1.7,N/A,N/A
Indiana St.,MVC,35,23,109.5,101.7,0.7016,56.4,48.2,17,17.2,21.4,22.8,31.5,30.4,58.8,48.6,35.8,31.8,70.5,-6.9,N/A,N/A
Eastern Kentucky,ASun,34,23,104.4,102.8,0.5437,48.6,50.6,16.7,18.6,33.4,29.3,24.3,25.4,48.6,49.7,32.4,34.7,69.8,-6.3,N/A,N/A
Youngstown St.,Horz,32,24,110.1,109.1,0.5274,54.7,51.3,15.6,17.9,30.6,29.2,29.4,26.2,54.9,51.3,36.2,34.1,68,-5.3,N/A,N/A
UNC Wilmington,CAA,32,24,101.5,100.6,0.5252,48.9,49.2,18.6,20.7,27.8,28,39.7,37.6,48.3,51.2,33.3,30.5,65.1,-2.9,N/A,N/A
Southern Utah,WAC,33,24,108.6,103.4,0.6378,52,51.5,18.6,17.5,27.9,26.1,39.5,31.4,51.3,50.3,35.4,35.9,71.6,-3.8,N/A,N/A
Marshall,SB,31,24,109.6,100.6,0.7273,52.6,47.7,15.5,20.1,31.7,32.6,26.2,28,53.9,47.7,33.6,31.9,71.9,-2.8,N/A,N/A
Grambling St.,SWAC,31,24,98.7,99.3,0.4841,50,44.6,21.2,21,31.5,31.6,41.5,41.1,48.8,43.2,35.5,31.2,66,-4.6,N/A,N/A
Hofstra,CAA,34,25,109.9,100.4,0.7389,55.1,46.8,15.9,18.5,23.6,31.7,20.9,25.3,55.1,46.9,36.7,31.1,67.2,-2.4,N/A,N/A
Bradley,MVC,34,25,106,97.8,0.7175,52.7,46.7,17.9,18.9,29.2,23.8,26.8,32.1,52.7,45.8,35.1,32.2,65.2,-1.4,N/A,N/A
Southern Miss,SB,30,25,105.8,99.7,0.6652,50.9,47.8,18,19.9,30.8,29.4,32.2,30.2,52.3,47.6,32.4,32.2,68.5,-0.8,N/A,N/A
Fordham,A10,33,25,101.7,100.3,0.5384,48.6,47,19.1,19.3,29.9,25.2,37.6,37.4,49.1,46.5,31.8,32,69.5,-2,N/A,N/A
Sam Houston St.,WAC,30,26,103.9,93.6,0.7682,50.7,49,19.9,23.1,30.5,24.9,32.3,37.6,47.2,46.6,37.8,34.5,64.4,0.1,N/A,N/A
UMass Lowell,AE,32,26,107.8,103,0.628,53.5,47,20,19.7,35.7,27,33.8,33.9,52.2,44.9,37.7,34.2,68.6,-4.2,N/A,N/A
Toledo,MAC,34,27,119.9,109.6,0.7369,56.3,52.9,13.6,18.3,29.8,30.9,34.4,27.5,54.6,52.1,39.7,36.1,69.5,-1.2,N/A,N/A
Liberty,ASun,33,27,111.4,97.3,0.8246,55.5,49.3,16,18.9,25.3,20.2,26.2,27.8,56.4,48.6,36.4,33.6,64.4,-2,N/A,N/A
Utah Valley,WAC,34,28,107.1,94.6,0.8065,51.7,44,19.3,16.3,28.9,29.1,35.6,28.7,52.5,42.8,33.4,31.1,69.8,-0.3,N/A,N/A
UAB,CUSA,38,29,112.4,97,0.8453,50.3,47.3,17.3,19.3,35.8,29.3,35.7,28.9,48.8,47.2,35.6,31.6,70.7,-0.5,N/A,N/A
North Texas,CUSA,36,31,110,93.8,0.8622,51.2,44.5,19.8,19.9,33.4,28.6,31,40.2,49.6,44.2,35.7,30.1,58.7,1.1,N/A,N/A
